Date of Purchase,Company,Amount,Category,Parent Company,Place,company_id
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"10,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"10,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"10,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,A B C INDIA LIMITED,"1,00,000",Logistics,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"10,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000",Others,Others,,
12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"10,00,000",Others,Others,,
12/Apr/2019,ARIHANT ENTERPRISES,"10,00,000",Chemicals,Others,,
12/Apr/2019,ARIHANT ENTERPRISES,"10,00,000",Chemicals,Others,,
12/Apr/2019,ARIHANT ENTERPRISES,"10,00,000",Chemicals,Others,,
12/Apr/2019,ARIHANT ENTERPRISES,"10,00,000",Chemicals,Others,,
12/Apr/2019,CHOUDHARY GARMENTS,"10,00,000",Garment,Others,,
12/Apr/2019,CHOUDHARY GARMENTS,"10,00,000",Garment,Others,,
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018728
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018729
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018730
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018731
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018732
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018733
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018734
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018735
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018736
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018737
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018738
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018739
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018740
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018741
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018742
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018743
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018744
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018745
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018746
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018747
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018748
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018749
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018750
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018751
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018752
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018753
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018754
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018755
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018756
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018757
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018758
12/Apr/2019,ESSEL MINING AND INDS LTD,"10,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018759
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018760
12/Apr/2019,ESSEL MINING AND INDS LTD,"1,00,00,000",Mining,Aditya Birla Group,,U51109WB1950PLC018761
